"E_manip_small$starttime","E_manip_small$female","E_manip_small$religion","E_manip_small$age","E_manip_small$numHousehold","E_manip_small$married","E_manip_small$children","E_manip_small$childrenNum","E_manip_small$formalEdu","E_manip_small$formalEduYears","E_manip_small$job","E_manip_small$urban","covid_real","covid_immunity_self","covid_embezzle","covid_attack","covid_hotdrink","covid_trust","covid_approval","covid_takevaccine","covid_takeyes_why","I want to protect myself from having COVID-19 in the future","I want to protect my family/members of my household against having COVID-19 in the future","I want to protect my community against having COVID-19 in the future","Life won't go back to normal until most people are vaccinated","The NCDC / government recommends getting vaccines","It is free","Other_covidyes","covid_takeyes_why__99","covid_takeyes_why_12","covid_takeno_why","I would be concerned about the side effects from the vaccine","I would be concerned about getting infected with coronavirus from the vaccine","I'm not concerned about getting seriously ill from the virus","I don't think vaccines work very well","The coronavirus outbreak is not as serious as people say it is","I don't like needles","I'm allergic to vaccines","I won't have time to go get vaccinated","Religious / community leaders advising me not to take it","The virus is a hoax / does not exist","The vaccine has microchips/ tracking devices","Other_covidno","covid_takeno_why__99","covid_takeno_why_13","covid_takencdc","covid_takeprominent","vaccine_trust","vaccine_trust_1","vaccine_pay","vaccines_safe","vaccines_effective"
"11/24/2020 4:19","0","Christian",45,4,1,1,2,1,14,1,1,"Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 4:23","0","Muslim",35,7,1,1,4,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 4:24","0","Christian",23,6,0,0,NA,1,10,1,1,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","Medical professionals like doctors","","No/Disagree","Yes/Agree","Yes/Agree"
"11/24/2020 4:25","0","Muslim",40,6,1,1,6,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Government officials","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 4:29","1","Christian",37,4,1,1,2,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 4:30","0","Christian",32,15,1,1,4,1,14,0,1,"Yes/Agree","Yes/Agree","Yes/Agree",NA,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 4:30","1","Muslim",37,8,1,1,8,1,9,1,0,"Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Religious leaders","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 4:42","1","Muslim",30,11,1,1,9,1,13,1,0,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 4:51","0","Christian",35,4,1,1,2,1,13,0,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","No/Disagree"
"11/24/2020 4:58","0","Christian",29,3,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree",NA,"No/Disagree","No/Disagree","No/Disagree","Yes/Agree","2 3","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 5:00","0","Christian",34,7,0,1,1,1,14,1,1,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","Family members and friends","","Yes/Agree","No/Disagree","Yes/Agree"
"11/24/2020 5:03","0","Christian",27,4,0,0,NA,1,14,1,0,"Yes/Agree",NA,"Yes/Agree",NA,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","8","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","No/Disagree","No/Disagree","Yes/Agree"
"11/24/2020 5:07","0","Christian",21,9,0,0,NA,1,13,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","No/Disagree","Yes/Agree"
"11/24/2020 5:09","1","Christian",23,6,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2 10 11","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","","No/Disagree","Yes/Agree","Religious leaders","","No/Disagree",NA,NA
"11/24/2020 5:11","0","Christian",37,3,1,1,1,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 5:15","0","Christian",28,3,1,1,1,1,13,1,1,"Yes/Agree","No/Disagree",NA,"Yes/Agree","No/Disagree",NA,NA,"No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","3","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","No/Disagree",NA,NA
"11/24/2020 5:15","1","Christian",33,6,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","No/Disagree","Yes/Agree"
"11/24/2020 5:17","0","Muslim",37,11,1,1,8,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 5:19","1","Muslim",20,9,1,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 5:23","0","Christian",37,3,1,1,1,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree",NA,"","No/Disagree","No/Disagree","No/Disagree"
"11/24/2020 5:29","1","Muslim",23,6,1,1,2,1,10,1,0,"Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","No/Disagree","Yes/Agree"
"11/24/2020 5:29","1","Christian",31,4,0,0,NA,1,14,0,0,"No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Family members and friends","","No/Disagree","No/Disagree","Yes/Agree"
"11/24/2020 5:38","0","Christian",63,13,1,1,12,1,14,0,1,"No/Disagree","No/Disagree","Yes/Agree",NA,"No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Medical professionals like doctors","","Yes/Agree","No/Disagree","No/Disagree"
"11/24/2020 5:42","1","Christian",29,6,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree",NA,"No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","2","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 5:42","0","Christian",38,6,1,1,4,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 5:47","0","Muslim",25,8,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","5","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 5:58","1","Christian",30,2,1,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree",NA,NA
"11/24/2020 6:04","1","Christian",35,5,0,0,NA,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Wants to see if it is working or not","Yes/Agree","Yes/Agree","Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:13","1","Christian",32,7,0,1,3,1,14,0,0,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Government officials","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:14","1","Muslim",27,7,1,1,5,1,10,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:14","0","Christian",59,7,1,1,3,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","3","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree",NA,"","No/Disagree",NA,NA
"11/24/2020 6:14","0","Muslim",43,8,1,1,6,1,14,1,0,"Yes/Agree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:17","1","Muslim",45,11,1,1,9,0,NA,1,1,"Yes/Agree","Yes/Agree",NA,"No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","2 3","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Religious leaders","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:17","1","Christian",37,6,1,1,4,1,10,1,1,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","Yes/Agree","Yes/Agree","Religious leaders","","No/Disagree","Yes/Agree","Yes/Agree"
"11/24/2020 6:18","0","Muslim",70,2,1,1,15,1,10,0,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:21","0","Christian",32,4,1,1,2,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","That because the government reufse to do what they are suppose to do","Yes/Agree","Yes/Agree","Some other source","His conscience","No/Disagree","No/Disagree","No/Disagree"
"11/24/2020 6:22","1","Muslim",41,5,0,1,4,1,7,1,1,"Yes/Agree","No/Disagree","No/Disagree",NA,"No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","No/Disagree","No/Disagree"
"11/24/2020 6:24","0","Christian",40,6,1,1,4,1,14,1,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:33","0","Christian",25,3,0,0,NA,1,14,0,0,"No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","3","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree","Family members and friends","","No/Disagree","No/Disagree","No/Disagree"
"11/24/2020 6:39","0","Christian",24,7,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","No/Disagree","No/Disagree","Yes/Agree"
"11/24/2020 6:40","1","Christian",31,3,1,1,1,1,13,1,1,"No/Disagree","Yes/Agree",NA,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","1 99","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Because of my child","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:45","0","Christian",47,5,1,1,3,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:46","1","Muslim",65,6,1,1,4,0,NA,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:47","1","Christian",37,10,1,1,2,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1 2 3","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","No/Disagree","Yes/Agree","No/Disagree"
"11/24/2020 6:49","1","Muslim",18,7,0,0,NA,1,13,0,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","1 2","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:53","1","Muslim",30,10,1,1,4,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree",NA,"No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Other community leaders","","Yes/Agree","No/Disagree","Yes/Agree"
"11/24/2020 6:53","0","Muslim",33,11,1,1,7,1,13,1,1,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 6:54","0","Christian",34,5,1,1,2,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Family members and friends","","Yes/Agree","Yes/Agree","Yes/Agree"
"11/24/2020 7:07","1","Christian",31,10,1,1,1,1,14,0,1,"Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","99","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Not sure if it's the vaccine","No/Disagree","No/Disagree","Family members and friends","","No/Disagree","No/Disagree","Yes/Agree"
"11/24/2020 7:08","0","Christian",34,5,0,0,NA,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","",NA,NA,NA,NA,NA,NA,NA,NA,"","4","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","No/Disagree","No/Disagree",NA,"","No/Disagree","Yes/Agree","Yes/Agree"
"11/24/2020 7:10","0","Muslim",37,11,1,1,8,1,14,0,1,"Yes/Agree","No/Disagree","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"NCDC","","Yes/Agree","No/Disagree","Yes/Agree"
"11/24/2020 7:13","0","Christian",42,5,1,1,2,1,14,1,1,"Yes/Agree","No/Disagree","No/Disagree","Yes/Agree","No/Disagree","Yes/Agree","Yes/Agree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Medical professionals like doctors","","Yes/Agree","Yes/Agree","No/Disagree"
"11/24/2020 7:16","0","Christian",21,11,0,0,NA,1,14,1,1,"Yes/Agree",NA,"Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","Yes/Agree","1","Yes/Agree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","No/Disagree","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Some other source","The UN","Yes/Agree","Yes/Agree","Yes/Agree"
